,title,text,time,image,country,3let,countrycode
0, Θεσσαλονίκη: Σε κρίσιμη κατάσταση 9χρονη μαθήτρια που υπέστη αλλεργικό σοκ ," Σε κρίσιμη κατάσταση μεταφέρθηκε στο Ιπποκράτειο Νοσοκομείο της Θεσσαλονίκης 9χρονη μαθήτρια Δημοτικού Σχολείου από τον Βόλο, καθώς υπέστη αλλεργικό σοκ από τροφή. ",2021-01-26 07:53:00,https://www.iefimerida.gr/sites/default/files/styles/horizontal_rectangle_mob/public/2020-03/asthenoforo-ekab-dromos-2020-3-20.jpg,ελλάδα,,GR
1, Στην Αρχιεπισκοπή σήμερα η Σακελλαροπούλου -Θα συναντηθεί με Ιερώνυμο , Συνάντηση με τον Αρχιεπίσκοπο Αθηνών θα έχει σήμερα η Πρόεδρος της Δημοκρατίας Κατερίνα Σακελλαροπούλου. ,2021-01-26 07:48:00,https://www.iefimerida.gr/sites/default/files/styles/horizontal_rectangle_mob/public/2021-01/ieronymos-sakellaropoulou.jpg,ελλάδα,,GR
2, Κορωνοϊός: Πάνω από 900 θάνατοι στη Γερμανία -Στους 52.990 ο τραγικός απολογισμός ," Ο αριθμός των επιβεβαιωμένων κρουσμάτων κορωνοϊού στην Γερμανία αυξήθηκε κατά 6.408 τις προηγούμενες 24 ώρες, φθάνοντας τα 2.148.077 από την αρχή της πανδημίας. ",2021-01-26 07:45:00,https://www.iefimerida.gr/sites/default/files/styles/horizontal_rectangle_mob/public/2021-01/giatroi-valitsaki-germania.jpg,γερμανία,,DE
3, Μοσχάτο: Αγνωστοι έκαψαν τρία αυτοκίνητα ," Φωτιά σε αυτοκίνητα στο Μοσχάτο έβαλαν άγνωστοι, τα ξημερώματα της Τρίτης. ",2021-01-26 07:34:00,https://www.iefimerida.gr/sites/default/files/styles/horizontal_rectangle_mob/public/2019-10/pyrosbestiko-oxima-vrady-26-10-2019.jpg,ελλάδα,,GR
4, Κορωνοϊός: Η μετάλλαξη και ο δείκτης θετικότητας ανησυχούν κυβέρνηση και ειδικούς ," Η μικρή άνοδος των κρουσμάτων κορωνοϊού το προηγούμενο 24ωρο προκαλεί εκ νέου ανησυχία στους ειδικούς, καθώς ο δείκτης θετικότητας αυξήθηκε, ενώ την ίδια ώρα το μεταλλαγμένο στέλεχος του ιού προκαλεί προβληατισμό. ",2021-01-26 07:27:00,https://www.iefimerida.gr/sites/default/files/styles/horizontal_rectangle_mob/public/2021-01/giatros-rapid-test.jpg,ελλάδα,,GR
5, Κορωνοϊός: Το Μεξικό ξεπέρασε τα 150.000 θύματα ," Το υπουργείο Υγείας του Μεξικού ανακοίνωσε 659 θύματα του κορωνοϊού το τελευταίο 24ωρο, καθώς και 8.521 κρούσματα. ",2021-01-26 07:21:00,https://www.iefimerida.gr/sites/default/files/styles/horizontal_rectangle_mob/public/2021-01/ypallilos-stoli-maska-eggrafa.jpg,μεξικό,,MX
6, Θεσσαλονίκη: Πυρκαγιά σε εργοστάσιο στη ΒΙΠΕ τα ξημερώματα , Φωτιά σε εργοστάσιο εντός της Βιομηχανικής Περιοχής στη Σίνδο Θεσσαλονίκης εκδηλώθηκε τα ξημερώματα. ,2021-01-26 07:13:00,https://www.iefimerida.gr/sites/default/files/styles/horizontal_rectangle_mob/public/2021-01/pyrosvestika-oximata.jpg,ελλάδα,,GR
7," Κορωνοϊός: Απαγόρευση συναθροίσεων άνω των 100 ατόμων, από σήμερα έως την 1η Φεβρουαρίου ", Την απαγόρευση των δημόσιων υπαίθριων συναθροίσεων αποφάσισε ο Αρχηγός της Ελληνικής Αστυνομία (ΕΛ.ΑΣ) από σήμερα έως την 1η Φεβρουαρίου. ,2021-01-26 07:09:00,https://www.iefimerida.gr/sites/default/files/styles/horizontal_rectangle_mob/public/2020-08/astynomikoi-gileka-troxaia-koronoios.jpg,ελλάδα,,GR
8," Rafale: Γαλλική ασπίδα πάνω από το Αιγαίο -Πότε θα έρθουν τα μαχητικά, οι δυνατότητές τους ", Θέμα χρόνου είναι πλέον η άφιξη των πρώτων μαχητικών αεροσκαφών τύπου Rafale από την Γαλλία. ,2021-01-26 07:04:00,https://www.iefimerida.gr/sites/default/files/styles/horizontal_rectangle_mob/public/2021-01/rafale-apogeiosi.jpg,ελλάδα,,GR
9, Με χρονόμετρο τα ψώνια -Το σχέδιο που μελετούν μετά τα... κόλπα με τα SMS και τον συνωστισμό ," Οι εικόνες συνωστισμού έξω από τα καταστήματα και οι… πονηριές καταναλωτών με τα SMS, φέρνουν αλλαγές στις μετακινήσεις για τα ψώνια. ",2021-01-26 07:00:00,https://www.iefimerida.gr/sites/default/files/styles/horizontal_rectangle_mob/public/2021-01/kosmos-katastimata-pezodromos.jpg,ελλάδα,,GR
