,title,text,time,image,country,3let,countrycode
0, ΕΛΑΣ: Απαγορεύονται οι συγκεντρώσεις έως την 1η Φεβρουαρίου ,Ξαφνική απόφαση του Αρχηγού της ΕΛΑΣ απαγορεύει από σήμερα μέχρι και την 1η Φεβρουαρίου τις δημόσιες συναθροίσεις άνω των 100 ατόμων. Τι πρόστιμα θα κληθούν να πληρώσουν οι παραβάτες.,2021-01-26 07:34:00,https://www.news247.gr/img/4729/9122988/561000/w140/140/ap_21014503897002.jpg,ελλάδα,,GR
1, Μοσχάτο: Έβαλαν φωτιά σε αυτοκίνητα ,Τουλάχιστον τρία αυτοκίνητα κάηκαν απο φωτιά που έβαλαν άγνωστοι τα ξημερώματα στο Μοσχάτο.,2021-01-26 07:20:00,https://www.news247.gr/img/8724/9122966/383000/w140/140/mosxato.jpg,ελλάδα,,GR
2, Γερμανία: Πρόσκληση Μέρκελ στον Μπάιντεν να επισκεφθεί το Βερολίνο ,Η Άγγελα Μέρκελ προσκάλεσε τον Τζο Μπάιντεν να επισκεφθεί το Βερολίνο στην πρώτη τους τηλεφωνική συνομιλία αφότου ο αμερικανός πρόεδρος ανέλαβε την εξουσία.,2021-01-26 06:53:00,https://www.news247.gr/img/8953/9122959/758000/w140/140/merkel.jpg,γερμανία,,DE
3, Το ΚΙΝ.ΑΛ σε (πρόωρη) προεκλογική περίοδο ,"Μετά την πρωτοβουλία του Ανδρέα Λοβέρδου να ανακοινώσει επισήμως ότι θα είναι υποψήφιος, οι προβολείς μετατίθενται, από τις πολιτικές θέσεις του Κινήματος Αλλαγής στις εξελίξεις στο εσωτερικό του. Με ότι αυτό συνεπάγεται.",2021-01-26 06:37:00,https://www.news247.gr/img/2421/9122862/236000/w140/140/loverdos.jpg,ελλάδα,,GR
4, Βόρεια Μακεδονία: Αντιπαράθεση για την πρώτη απογραφή μετά από 19 χρόνια ,Ο πρόεδρος υπέγραψε διάταγμα για την απογραφή του πληθυσμού τον Απρίλιο του 2021. Σφοδρή αντιπαράθεση κυβέρνησης-αντιπολίτευσης.,2021-01-26 06:35:00,https://www.news247.gr/img/8368/9122942/481000/w140/140/stevo_pendarovski.jpg,μακεδονία,,MK
5, Διερευνητικές με Τουρκία: Μάρτιο ο 2ος γύρος και το χαμένο παιχνίδι των κυρώσεων ,Οι διερευνητικές επαφές Ελλάδας- Τουρκίας θα συνεχιστούν στην Αθήνα. Τι συζητήθηκε επί τρεισήμισι ώρες στην Κωνσταντινούπολη παρουσία και “ανθρώπου” του Ερντογάν και το “δώρο” της Γερμανίας ,2021-01-26 06:24:00,https://www.news247.gr/img/4275/9122511/407000/w140/140/diereynitikes.jpg,τουρκία,,TR
6, Ο ΣΥΡΙΖΑ είδε… Σαμαρά και «μπήκε» ,"«Πρεσάρει» την κυβέρνηση η αξιωματική αντιπολίτευση, στα εθνικά θέματα, μετά από την δημόσια διαφοροποίηση του Αντώνη Σαμαρά. Ακόμη και για σκιώδη πρωθυπουργό μιλούν στελέχη του ΣΥΡΙΖΑ.",2021-01-26 06:23:00,https://www.news247.gr/img/1004/9122913/432000/w140/140/samarasmitsotakis.jpg,ελλάδα,,GR
7," Εύα Καϊλή: Οι Γυναίκες σπάνε την σιωπή, βάζοντας τέλος στην ανοχή της κακοποίησης, παρενόχλησης και έμφυλης βίας ","Η Εύα Καϊλή, γράφει στο News 24/7 για το τέλος του φόβου, αλλά και την ανάγκη για ουσιαστική εφαρμογή της Σύμβασης της Κωνσταντινούπολης.",2021-01-26 06:20:00,https://www.news247.gr/img/5712/9111666/073000/w140/140/tsipras.jpg,ελλάδα,,GR
8, ΗΠΑ: Στη Γερουσία το κατηγορητήριο σε βάρος του Τραμπ - Όλη η διαδικασία ,"Στη Βουλή των Αντιπροσώπων το κατηγορητήριο σε βάρος του Ντόναλντ Τραμπ, του μοναδικού προέδρου των ΗΠΑ που βρέθηκε δύο φορές αντιμέτωπος με αποπομπή",2021-01-26 06:13:00,https://www.news247.gr/img/1895/9052060/791000/w140/140/trump.jpg,ελλάδα,,GR
9, Τράπεζες: Όλη η ατζέντα της χθεσινής τηλεδιάσκεψης με τους Θεσμούς ,Την χρήση τομή στο θέμα των πλειστηριασμών και της χρηματοδότησης της οικονομίας αναζήτησαν χθες τράπεζες και Θεσμοί και πλέον την σκυτάλη των διαπραγματεύσεων παραλαμβάνει σήμερα το οικονομικό επιτελείο.,2021-01-26 06:12:00,https://www.news247.gr/img/4620/9122929/137000/w140/140/trapeza.jpg,ελλάδα,,GR
